Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Games,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Orc,padywan,Spain,Spain,Luis_Roka,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Norse,Hestiar,Spain,Spain,coach_iosu,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Wood Elf,SARAH_CONNOR,Spain,Spain,chicobowl,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Chaos Chosen,Pako_SF,Spain,Spain,Juarman,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Tomb Kings,SirMayans,Spain,Spain,Ivan_Landwehr,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Necromantic Horror,Emi_-13-_,Spain,Spain,jisu,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Halfling,jisu,Spain,Spain,Emi_-13-_,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Human,Ivan_Landwehr,Spain,Spain,SirMayans,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Chaos Renegade,Juarman,Spain,Spain,Pako_SF,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
High Elf,coach_iosu,Spain,Spain,Hestiar,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
